,0,1,2,3,4,5,6,7
218,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
219,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
220,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
221,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
222,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
223,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
224,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
225,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
226,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
227,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
228,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
229,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
230,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
231,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
232,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
233,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
234,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
235,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
236,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
237,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
238,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
239,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
240,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
241,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
242,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
243,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
244,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
245,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
246,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
247,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
248,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
249,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
250,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
251,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
